297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	SUPERFAMILY	SSF51283	dUTPase-like	177	342	1.08E-25	T	23-12-2021	IPR036157	dUTPase-like superfamily
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	Gene3D	G3DSA:2.70.40.10	-	175	343	2.7E-62	T	23-12-2021	IPR036157	dUTPase-like superfamily
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	Pfam	PF06559	2'-deoxycytidine 5'-triphosphate deaminase (DCD)	9	366	4.2E-170	T	23-12-2021	IPR010550	Deoxycytidine triphosphate deaminase, bacterial
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	Gene3D	G3DSA:2.70.40.10	-	2	174	8.0E-51	T	23-12-2021	IPR036157	dUTPase-like superfamily
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	PANTHER	PTHR42680:SF3	DCTP DEAMINASE	248	366	2.9E-46	T	23-12-2021	-	-
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	PANTHER	PTHR42680	DCTP DEAMINASE	248	366	2.9E-46	T	23-12-2021	-	-
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	PANTHER	PTHR42680	DCTP DEAMINASE	10	178	2.9E-46	T	23-12-2021	-	-
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	PANTHER	PTHR42680:SF3	DCTP DEAMINASE	10	178	2.9E-46	T	23-12-2021	-	-
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	SUPERFAMILY	SSF51283	dUTPase-like	12	172	1.16E-29	T	23-12-2021	IPR036157	dUTPase-like superfamily
297_RNODE_13_length_755597_668	b2278059e9ef55b614bc7806bb433e6c	369	CDD	cd07557	trimeric_dUTPase	248	335	2.14249E-10	T	23-12-2021	IPR033704	dUTPase, trimeric
291_RNODE_30_length_59530_45	dee494342c7216f2cd2e465ae9a2cb1d	201	TIGRFAM	TIGR01965	VCBS_repeat: VCBS repeat	13	95	4.2E-5	T	23-12-2021	IPR010221	VCBS repeat
287_RNODE_30_length_28063_19	7fef611163b6ca7202155b06a6c3b6a9	66	Coils	Coil	Coil	25	45	-	T	23-12-2021	-	-
297_RNODE_13_length_755597_212	d2b2d1861c7506184c460adbacd2af93	238	Gene3D	G3DSA:1.10.530.10	-	123	225	4.0E-6	T	23-12-2021	-	-
297_RNODE_13_length_755597_212	d2b2d1861c7506184c460adbacd2af93	238	SUPERFAMILY	SSF53955	Lysozyme-like	124	200	3.87E-11	T	23-12-2021	IPR023346	Lysozyme-like domain superfamily
297_RNODE_13_length_755597_212	d2b2d1861c7506184c460adbacd2af93	238	CDD	cd00442	Lyz-like	135	190	2.30625E-5	T	23-12-2021	-	-
297_RNODE_13_length_755597_212	d2b2d1861c7506184c460adbacd2af93	238	Pfam	PF01464	Transglycosylase SLT domain	124	196	2.3E-6	T	23-12-2021	IPR008258	Transglycosylase SLT domain 1
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	CDD	cd00284	Cytochrome_b_N	37	224	7.88396E-80	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	ProSiteProfiles	PS51002	Cytochrome b/b6 N-terminal region profile.	15	227	37.442	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	SUPERFAMILY	SSF81342	Transmembrane di-heme cytochromes	30	280	4.24E-104	T	23-12-2021	IPR016174	Di-haem cytochrome, transmembrane
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	Pfam	PF00033	Cytochrome b/b6/petB	36	219	2.0E-70	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	SUPERFAMILY	SSF81648	a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	281	403	5.67E-34	T	23-12-2021	IPR036150	Cytochrome b/b6, C-terminal domain superfamily
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	Gene3D	G3DSA:1.20.810.10	Cytochrome Bc1 Complex; Chain C	4	429	2.3E-162	T	23-12-2021	IPR027387	Cytochrome b/b6-like domain superfamily
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	CDD	cd00290	cytochrome_b_C	231	381	2.39522E-38	T	23-12-2021	IPR005798	Cytochrome b/b6, C-terminal
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	PANTHER	PTHR19271	CYTOCHROME B	35	411	1.6E-123	T	23-12-2021	-	-
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	PANTHER	PTHR19271:SF16	CYTOCHROME B	35	411	1.6E-123	T	23-12-2021	-	-
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	Pfam	PF00032	Cytochrome b(C-terminal)/b6/petD	278	386	6.8E-38	T	23-12-2021	IPR005798	Cytochrome b/b6, C-terminal
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	PIRSF	PIRSF038885	COB	7	417	1.8E-195	T	23-12-2021	IPR030689	Cytochrome b
291_RNODE_11_length_104062_75	a738ba69d8b9928e0f51ff12a471d2fa	430	ProSiteProfiles	PS51003	Cytochrome b/b6 C-terminal region profile.	230	407	44.339	T	23-12-2021	IPR005798	Cytochrome b/b6, C-terminal
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	CDD	cd00284	Cytochrome_b_N	37	224	7.88396E-80	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	ProSiteProfiles	PS51002	Cytochrome b/b6 N-terminal region profile.	15	227	37.442	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	SUPERFAMILY	SSF81342	Transmembrane di-heme cytochromes	30	280	4.24E-104	T	23-12-2021	IPR016174	Di-haem cytochrome, transmembrane
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	Pfam	PF00033	Cytochrome b/b6/petB	36	219	2.0E-70	T	23-12-2021	IPR005797	Cytochrome b/b6, N-terminal
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	SUPERFAMILY	SSF81648	a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	281	403	5.67E-34	T	23-12-2021	IPR036150	Cytochrome b/b6, C-terminal domain superfamily
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	Gene3D	G3DSA:1.20.810.10	Cytochrome Bc1 Complex; Chain C	4	429	2.3E-162	T	23-12-2021	IPR027387	Cytochrome b/b6-like domain superfamily
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	CDD	cd00290	cytochrome_b_C	231	381	2.39522E-38	T	23-12-2021	IPR005798	Cytochrome b/b6, C-terminal
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	PANTHER	PTHR19271	CYTOCHROME B	35	411	1.6E-123	T	23-12-2021	-	-
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	PANTHER	PTHR19271:SF16	CYTOCHROME B	35	411	1.6E-123	T	23-12-2021	-	-
297_RNODE_18_length_68502_10	a738ba69d8b9928e0f51ff12a471d2fa	430	Pfam	PF00032	Cytochrome b(C-terminal)/b6/petD	278	386	6.8E-38	T	23-12-2021	IPR005798	Cytochrome b/b6, C-terminal
